0	x o ŋ͡m 1
1	m o t 6
2	h a j 1
3	b a 1
4	b o n 5
5	n ă m 1
6	ʂ ă w 5
7	b ă j 4
8	t a m 5
9	c i n 5
a	a 1
á	a 5
à	a 2
ã	a 3
ả	a 4
ạ	a 6
ác	a k 5
ắc	ă k 5
ậc	ɤ̆ k 6
ặc	ă k 6
ách	a tʃ 5
ạch	a tʃ 6
ad	æ d ' 5
adn	a d n
ai	a j 1
ái	a j 5
ải	a j 4
ak	a k
album	æ l ' 5   b ʌ m ' 1
am	a m 1
ám	a m 5
âm	ɤ̆ m 1
ăm	ă m 1
ấm	ɤ̆ m 5
ầm	ɤ̆ m 2
ẵm	ă m 3
ảm	a m 4
ẩm	ɤ̆ m 4
ậm	ɤ̆ m 6
an	a n 1
án	a n 5
ân	ɤ̆ n 1
ăn	ă n 1
ấn	ɤ̆ n 5
ẩn	ɤ̆ n 4
and	æ n d ' 1
ang	a ŋ 1
áng	a ŋ 5
ăng	ă ŋ 1
ắng	ă ŋ 5
ằng	ă ŋ 2
ảng	a ŋ 4
ẳng	ă ŋ 4
anh	ɛ ɲ 1
ánh	ɛ ɲ 5
ảnh	ɛ ɲ 4
ạnh	ɛ ɲ 6
ao	a w 1
áo	a w 5
ào	a w 2
ảo	a w 4
ạo	a w 6
aỏn	a ' n
áp	a p 5
ấp	ɤ̆ p 5
ắp	ă p 5
ập	ɤ̆ p 6
asean	ə ' 1   z i ' 5   ə n ' 1
át	a t 5
ất	ɤ̆ t 5
ắt	ă t 5
ạt	a t 6
atom	æ ' 5   t ə m ' 1
au	ă w 1
âu	ɤ̆ w 1
ấu	ɤ̆ w 5
ầu	ɤ̆ w 2
ẩu	ɤ̆ w 4
áy	ă j 5
ây	ɤ̆ j 1
ấy	ɤ̆ j 5
ầy	ɤ̆ j 2
ẩy	ɤ̆ j 4
b	b i ' 5
ba	b a 1
bá	b a 5
bà	b a 2
bã	b a 3
bả	b a 4
bạ	b a 6
bác	b a k 5
bấc	b ɤ̆ k 5
bắc	b ă k 5
bạc	b a k 6
bậc	b ɤ̆ k 6
bách	b a tʃ 5
bạch	b a tʃ 6
bai	b a j 1
bái	b a j 5
bài	b a j 2
bãi	b a j 3
bải	b a j 4
bại	b a j 6
bám	b a m 5
bàm	b a m 2
băm	b ă m 1
bấm	b ɤ̆ m 5
bầm	b ɤ̆ m 2
bằm	b ă m 2
bẫm	b ɤ̆ m 3
bẩm	b ɤ̆ m 4
bậm	b ɤ̆ m 6
bặm	b ă m 6
ban	b a n 1
bán	b a n 5
bàn	b a n 2
bân	b ɤ̆ n 1
băn	b ă n 1
bấn	b ɤ̆ n 5
bần	b ɤ̆ n 2
bắn	b ă n 5
bằn	b ă n 2
bản	b a n 4
bẩn	b ɤ̆ n 4
bẳn	b ă n 4
bạn	b a n 6
bận	b ɤ̆ n 6
bặn	b ă n 6
bang	b a ŋ 1
